family,algorithm,instances,avg_vehicles,avg_distance,avg_runtime
C1,ALNS,10,109.5,55383.368850000006,90.50077
C1,BIH,10,110.9,64868.432759999996,11.920300000000001
C1,ORTOOLS,10,101.4,44465.26186,90.13542
C1,TABU,10,109.5,56798.680700000004,90.22987
C2,ALNS,10,37.2,32697.23532,90.84088
C2,BIH,10,37.6,40797.10299,30.860239999999997
C2,ORTOOLS,10,39.2,20007.826810000002,90.01629
C2,TABU,10,37.4,34743.4792,90.48685
R1,ALNS,10,94.2,85657.91847,90.52711000000001
R1,BIH,10,94.4,89147.83064999999,19.3121
R1,ORTOOLS,10,94.9,51250.56154,90.01509
R1,TABU,10,93.8,83291.9904,90.38072
R2,ALNS,10,19.2,53708.67351000001,93.72073
R2,BIH,10,19.2,59852.18715,64.4911
R2,ORTOOLS,10,37.0,31700.716259999997,90.03269
R2,TABU,10,19.2,56302.6541,90.76403
RC1,ALNS,10,93.4,64645.92478,90.56884
RC1,BIH,10,93.5,69674.905,17.38707
RC1,ORTOOLS,10,93.0,49064.39635,90.01487
RC1,TABU,10,92.9,64416.53111,90.34091
RC2,ALNS,10,21.6,35916.20882,91.52434
RC2,BIH,10,21.6,39421.099579999995,48.82432
RC2,ORTOOLS,10,29.6,25406.560869999998,90.01718
RC2,TABU,10,21.6,36997.50779,90.63311
